kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Cílek, Roman, | Dno vyschlé studny /","Česko, Německo, Mexiko"
"Dadák, Matěj, | Lovci švábů /","Itálie, Francie, Indie, Polsko, Severní Makedonie, Rusko, Mongolsko, Česko"
"Damijo, Alena, | Srdečné pozdravy z Řecka /","Česko, Egypt, Itálie, Jižní Korea, Polsko, Řecko, Španělsko"
"Dancingerová, Marta, | Maluj můru nohama vzhůru /",Česko
"Denemarková, Radka, | Čokoládová krev /","Česko, Francie, Spojené státy americké, Rakousko"
"Denk, Petr | Anatomie moci :",Česko
"Denková, Melita, | Poslední Přemyslovna :","Česko, Španělsko, Německo"
"Devátá, Ivanka, | Šťastná za všech okolností /","Česko, Chorvatsko, Německo, Švýcarsko, Austrálie, Řecko"
"Diviš, Aleš, | Leviar.",Sylothys
"Divišová, Anna, | Bábi Jarka :",Česko
"Dobrovolná, Ilona, | Prokletí rodu /","Česko, Peru, Norsko, Nový Zéland, Mexiko, Řecko"
"Dobrylovský, Jiří, | Meč a pergamen.","Česko, Francie, Německo"
"Dolejšová, Eva, | Radosti a strasti single ženy /","Bali, Evropská unie, Česko"
"Domská, Marie, | Nejasné hranice :",""
"Donátová, Uljana, | Matka s ručením omezeným /","Česko, Kanada"
"Dopitová, Michaela, | Křídla vážky /","Česko, Řecko"
"Dostál, Aleš, | Když prší jehličí :","Česko, Rakousko, Řecko, Sýrie, Kanada"
"Dostál, Richard, | Žižka :","Česko, Polsko, Litva"
"Dostál, Zeno, | Soukromá trestní obžaloba /","Česko, Německo, Polsko, Francie, Spojené království, Sovětský svaz, Bosna a Hercegovina, Srbsko"
"Dostálová, Zuzana, | Karneval zvířat /","Česko, Německo, Japonsko, Francie, Spojené státy americké"
"Doucha, Josef, | Zlatý klíč k peklu /",Spojené státy americké
"Dousková, Irena, | Konec dobrý /","Československo, Rakousko, Sovětský svaz"
"Dočekal, Boris, | Krátký román o přátelství /","Francie, Rakousko, Německo, Belgie, Česko, Maďarsko, Německá demokratická republika"
"Drbohlav, Jan, | Římská jízda /","Itálie, Svatá říše římská, Česko"
"Dubská, Kateřina, | Hendrixova kytara /","Spojené království, Spojené státy americké, Česko"
"Durková, Milena | Bára krotí posádku /","Česko, Mexiko, Venezuela, Spojené státy americké"
"Dusová, Tereza, | Zapomenutý ostrov někde v Pacifiku /","Česko, Polsko, Austrálie"
"Dutka, Edgar, | Letní valčíky /","Česko, Rakousko-Uhersko, Spojené státy americké"
"Dušková, Vlasta, | Třinácté okno /","Česko, Itálie, Francie, Nizozemsko, Německo"
"Dvořák, Marek, | Bastard bohů /",Saskaldie
"Dvořák, Stanislav | Kadanland /","Česko, Německo, Jugoslávie, Korejská republika, Kambodža, Švédsko, Thajsko, Spojené státy americké"
"Dvořáková, Petra, | Pláňata /","Československo, Německo"
"Dědič, Jiří, | Útěk /","Česko, Německo, Nizozemsko"
"Eckhardtová, Nora, | Kniha, kterou posypal hvězdný prach /","Česko, Rakousko-Uhersko"
"Eidler, Petr, | Případ Aleny Struskové /","Česko, Itálie, Španělsko, Francie, Rakousko, Německo"
"Elbe, Lenka, | U Ra No vA /","Česká republika, Spojené království, Francie, Sovětský svaz, Československo"
"Elšíková, Klára, | Pacanka /","Nizozemsko, Česko"
"Epstein, Marek, | Země /","Německo, Polsko, Rakousko, Itálie, Československo, Česko"
"Erml, Richard, | Libeňský román :","Česko, Čína, Japonsko, Rusko"
"Evans, Vesna, | Sametový domov /","Bosna a Hercegovina, Německo, Rakousko, Švédsko, Srbsko, Slovinsko, Francie, Spojené království, Itálie, Německo, Jugoslávie"
"Fahrner, Martin, | Štěstí /","Česko, Sovětský svaz, Německo"
"Fajnorová, Ivana, | Emilka :","Česko, Slovensko, Ukrajina"
"Fanta, Ondřej, | Vraždy na dvojce /",Česko
"Fenclová, Marta | Hodná. /",Česko
"Fischerová, Daniela, | Fialky, tajemství a jiné povídky /","Maďarsko, Česko, Francie, Spojené státy americké"
"Fišer, Lukáš, | Cirkus Maximum :","Česko, Itálie, Řecko, Španělsko, Polsko"
"Fišer, Martin, | Vykoupení Černé vlaštovky /","Spojené království, Itálie, Francie, Bahamy, Spojené státy americké, Kuba, Haiti, Španělsko"
"Fojtová, Věra, | Zbav nás od zlého /",Česko
"Folný, Jan, | Hotel Royal /","Irák, Francie, Spojené státy americké, Spojené království, Maďarsko, Kostarika, Malajsie, Bulharsko, Rakousko, Španělsko, Polsko"
"Formáčková, Marie, | Přešlé mrazem :",Česko
"Fousek, Josef, | Bezstarostné cesty /",Česko
"Francová, Eva, | Kolčava /",Francie
"Freiová, Kristýna, | Syn draka :","Turecko, Uhersko, Valašsko, Moldavsko, Bulharsko, Persie, Itálie, Řecko, Bosna a Hercegovina, Srbsko, Rumunsko, Česko"
"Fránek, Jakub, | Tropické noci /","Česko, Čína"
"Fuchs, Oskar, | Pekelný pastýř /","Německo, Skotsko"
"Fundová, Johana, | Hezký, ale narovnej se! /",Česko
"Fílová, Karolína, | Přístav :",
"Gajdošová, Anna | Slunečnice /",
"Galambica, Ivan, | Takový hodný chlapec :","Česko, Polsko, Tunisko"
"Gardner, Jan, | Devátý neznámý /","Česko, Spojené království, Rakousko-Uhersko, Indie, Německo, Francie, Spojené státy americké, Československo, Polsko, Čína"
"Gdovín, Vladimír Adam, | Gdovín?! /","Československo, Slovensko, Kanada, Jugoslávie, Spojené státy americké"
"Glockner, David, | Tajemství rodu Rottových /","Česko, Rusko"
"Goffa, Martin, | Vánoční zpověď /","Česká republika, Francie, Francie, Maroko"
"González, Veronika, | Mezi nimi /",Česko
"Gottwaldová, Libuše | Zastav se, než skočíš! /","Česká republika, Spojené státy americké, Francie, Itálie"
Green Scum | Steam /,"Spojené království, Skotsko"
"Grestenbergerová, Eva, | Na divokém venkově /","Česko, Polsko, Spojené království"
"Gris, Daniel, | Lars mele maso /","Česko, Kolumbie, Spojené arabské emiráty, Švédsko, Srí Lanka"
"Grmolec, Zdeněk, | Pod císařským orlem /","Česko, Rakousko, Francie, Španělsko, Švédsko, Itálie, Uhersko, Svatá říše římská"
"Gruber, Petr, | Policajtem snadno a rychle :","Česká republika, Slovensko"
"Gruber, Václav, | Případ ztraceného psa /",Česko
"Hadj Moussa, Iva, | Démon ze sídliště /","Česko, Etiopie, Pákistán, Arménie"
"Hajdová, Marie, | Jeřabinový dům /","Česko, Egypt, Thajsko, Indonésie, Kapverdy, Polsko"
"Hamouz, Jan, | Třetí ucho /","Erenézie, Adalon, Bórzagán, Palária, Čerogor"
"Hanibal, Jiří, | Alej smrti /","Spojené státy americké, Spojené království, Rusko, Egypt, Španělsko, Pobřeží slonoviny, Rakousko-Uhersko, Československo, Česko, Švýcarsko"
"Hanišová, Viktorie, | Dlouhá trať /","Spojené království, Česko"
"Hanušová, Jana, | Rádio v mrazáku /",Česko
"Haplová, Barbora, | Únikové cesty /",Česko
"Hartmanová, Zuzana, | Krysy apokalypsy.","Ler, Amabel"
"Haunerová, Klára, | Teorie klavíru /","Česko, Malta, Jihoafrická republika, Indonésie"
"Havlas, Lukáš, | 180 stupňů /","Česko, Německo, Řecko"
"Havlík, Rudolf, | Horkou jehlou /","Česko, Čína, Indie, Japonsko, Pákistán, Filipíny, Singapur, Thajsko, Turecko, Ukrajina"
"Havlíková, Katka, | Lampář, lodivodka a kluk z továrny na slzy /",Česko
"Heinrichová, Alena Adrianet, | Slovodějky /",
"Hejda, Jiří, | Útěk /",Česko
"Hejda, Luboš, | Návrat do Bransonu /",Spojené státy americké
"Hejkalová, Markéta, | Století na vlnách /","Finsko, Rusko, Švýcarsko, Čína, Česko, Československo, Ukrajina, Turecko, Írán, Spojené státy americké, Brazílie"
"Hejná, Tereza, | Ztracen v knihách /","Česko, Německo, Rakousko"
"Herzogová, Tereza, | Tichá pošta /","Francie, Česko"
"Heteša, Petr, | Necrobox /","Spojené státy americké, Grónsko, Dánsko, Německo, Polsko, Japonsko, Irák"
"Hewlit, Pavel, | Vyvolení stát se popelem /",Německo
"Heš, Martina, | Tvůrčí restart :",Česko
"Hieková, Šárka, | Možná už zítra /",Česko
"Hindráková, Hana, | Svítání nad savanou :","Česko, Guinea, Francie, Spojené státy americké, Keňa, Německo, Egypt"
"Hlaučo, Miroslav, | Letnice /","Egypt, Rakousko, Řecko, Česko"
"Hlavenka, Vojtěch, | Kód Mýtina.","Česko, Irsko, Kazachstán, Rusko"
"Hlavinková, Lucie, | Pravda nebyla k dostání /","Československo, Egypt, Německo, Anglie"
"Hloušková, Jitka, | Díky, Londýne! /","Česká republika, Spojené království, Německo, Španělsko, Rusko"
"Hlubinková Kožmínová, Ivana | Zoufalky, aneb, Rande jak cyp /",Česko
"Hohenberger, Martina, | Zloděj duší /","Česko, Německo, Rakousko"
"Holanec, Václav, | Díkůvzdání /","Česko, Rakousko, Rusko, Nizozemsko, Etiopie"
"Holaň, Aleš, | Agent Samantha Parksová /","Spojené království, Česko"
"Holubová, Kateřina | Vesnická holka /",Česko
"Homola, Jiří, | Ovál /","Česko, Švýcarsko"
"Horníček, Jan, | Čarostřelec /","Česko, Rakousko, Prusko, Polsko"
"Horová, Ladislava | Něco na tom asi bude... /",Česko
"Horová, Marie, | Jak se do lesa volá /","Česko, Indonésie"
"Horáková, Jitka | Purgatorium /",
"Horáková, Naďa, | Kronika hříšného kněze, aneb, Bestie z Karlštejna /","Česko, Polsko"
"Horáková, Pavla, | Srdce Evropy /","Česko, Rakousko, Polsko, Slovensko, Německo, Itálie, Srbsko, Maďarsko, Spojené státy americké, Francie"
"Horáčková, Alice, | Rozpůlený dům /","Česká republika, Rakousko, Německo, Norsko, Spojené státy americké"
"Hotovcová, Eva, | Zachariáš a tajemství stříbrných tenisek /",Česko
