kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Lehečková, Hana D., | Poupátka /","Česko, Ukrajina, Slovensko, Španělsko, Spojené království"
"Leidl, Tomáš | Mlha podzimních večerů /",Česko
"Leierová, Martina, | Tohle město, tahle řeka /","Česko, Německo"
"Linhart, Jiří J., | Mágové a šarlatáni /",Česko
"Linke, Barbora | Srdcem mojí babičky /","Německo, Sovětský svaz, Francie, Spojené království, Česko"
"Ludvíková, Jitka, | Srdce z ledu /",Česko
"Lukačovičová, Lucie, | Zákon azylu /","Česko, Vietnam, Španělsko"
"Luksch, Jakub, | Čas a jeho loutky /",Česká republika
"Lukášková, Markéta, | Vlaštovka v bublině /",Česko
"Lundiaková, Hana, | Hyena /","Česko, Československo, Čína, Evropa, Japonsko, Spojené státy americké"
"Luxová, Blanka, | Je to jenom sranda /",Spojené státy americké
"Ládrová, Jitka, | Němé duše /",Tygří místokrálovství
"Láska, Václav, | Senátor :",Česko
"Macek, Miroslav, | Záhada zamčeného pokoje :","Itálie, Francie, Švýcarsko, Spojené státy americké, Polsko, Řecko, Irsko"
"Macek, Petr, | Sherlock Holmes & Případ dobře vychlazené pomsty /","Spojené království, Francie, Německo, Itálie, Indie"
"Machala, Libor, | Agent s cejchem smrti /","Mexiko, Spojené státy americké"
"Macho, Milan, | Pohřeb bez nebožtíka /","Česko, Slovensko, Německo, Rakousko, Velká Británie, Francie, Itálie, Spojené státy americké, Československo"
"Machová, Nikola | Stella z Kalvendie /","Česko, Spojené státy americké"
"Machová, Petra, | Krevní msta /","Íllysea, Rhese"
"Macháčková, Lucie, | Svatební historky, aneb, Jak jsem se nevdala /","Česko, Vietnam, Čína, Turecko"
"Macková Hrochová, Petra, | Život se psem není pro kočku, aneb, Krušný život městského psa na venkově /",Česko
"Macková, Marie, | Pod zelenou pečetí :","Francie, Rakouské císařství, Československo, Česko"
"Macková, Tereza, | Tokyo story /","Japonsko, Česko, Francie"
"Macků, Robert, | Hédonista /","Česko, Německo, Mauricius, Etiopie"
"Madle, Patrik | Seznam zapomenutých dětí /",Česko
"Malurková, Marie | Bytost rodu :",Česko
"Mandausová, Klára, | Proti srsti :","Česko, Mongolsko, Spojené království"
"Marek, Jaromír, | Doba chemlonová :","Čína, Indie, Spojené království, Československo, Rakousko, Švédsko, Německo, Sovětský svaz, Česko"
"Marková, Tereza, | Pomíjivost /",Česko
"Marková, Zlatuše, | Ala Luna /","Tchaj-wan, Bulharsko, Čína, Německo, Měsíc, Mars, Země"
"Martincová, Zdeňka | Maják /",
"Martinková, Veronika, | Odsouzen k smrti /",Česká republika
"Martišková, Petra, | Tanec v srdci /","Česko, Spojené království, Maďarsko, Chorvatsko"
"Matějka, Vít Martin, | Klub Klikařů.","Česko, Francie"
"Matějček, Lukáš, | Dobrodruh z paneláku /","Česko, Rakousko, Švýcarsko, Itálie, Monako, Francie, Andorra, Španělsko, Maroko, Německo, Turecko, Írán, Irák, Brazílie, Řecko, Polsko, Slovensko, Maďarsko, Chorvatsko, Srbsko, Bulharsko, Kypr, Indie, Nepál"
"Mayer, Jiří B., | Závojnatky /",Česko
"Mazáč, Antonín, | Aristokrat /","Česko, Makedonie"
"Maňák, Vratislav, | Smrt staré Maši /","Izrael, Sýrie, Uzbekistán, Čína, Indie, Polsko, Egypt, Itálie, Francie, Vatikán"
"Mařík, Jakub, | UTSS Salamis.","Maďarsko, Francie, Česko, Arabská konfederace"
"Mašková, Eva, | Vražedné předsudky /","Česko, Švýcarsko"
"Meixnerová, Karolína, | Národní opruzení /","Česko, Rakousko"
"Melichar, René, | Zákoník mé ženy, aneb, Obyčejné dny /","Austrálie, Česko"
"Melicharová, Michaela, | Osamělé povídky /",Česko
"Merglová, Michaela, | Prokletá věž /","Ljanar, Szalka, Zielanek, Grask"
"Mertlíková, Věra, | Bůh lovu /","Česko, Uhry, Prusko"
"Michal, Martin | Mrtvé oči /",
"Michorová, Eva, | Zpověď stárnoucí trosky, která má psa /","Česko, Sovětský svaz, Spojené státy americké, Rumunsko, Dánsko, Maďarsko"
"Miklica, Tomáš, | Polistopad /","Česko, Československo, Rakousko, Rumunsko, Spojené státy americké"
"Mikuš, Filip, | Výstava chameleonů /","Česko, Slovensko, Nizozemsko"
"Militká, Hana, | Velké případy kpt. Černé.",Česko
"Minaříková, Olga, | Z deníku dočaskářky /",Česko
"Mintová, Magdalena, | Falešný pohřeb :",Česko
"Minářová, Elena, | Než zjistíš pravdu /",Spojené státy americké
"Mičková, Nela, | Království v kameni /","Marluzie, Celadon, Amaranth"
"Mlynářová, Marcela, | Život začíná po přechodu /","Česko, Island, Lichtenštejnsko, Německo, Norsko, Rakousko-Uhersko, Československo"
"Moricová, Anna, | Až půjdeš, zavři za sebou /","Česko, Botswana"
"Moritz, Michaela, | Na křídlech Fénixe /","Francie, Spojené království, Afrika"
"Mornštajnová, Alena, | Po stopách zločinů /","Turecko, Česko"
"Mostecký, Jaroslav, | Bastard /","Francie, Itálie, Římská říše, Svatá říše římská, Česko"
"Motýl, Petr, | Příběh pana rytíře Vítka a jeho dcery Anežky /",Česko
"Mrkvička, Jan, | Agónie /",Česko
"Musilová, Anna, | Nejkrásnější dárek /","Česko, Spojené království"
"Musálková Jeckelová, Jana | Šalvěj a Meruňka /",Česko
"Mužíková, Michaela, | Vraždy s odstupem /",Česká republika
"Mádl, Jiří, | Přitažlivost planety Krypton /","Česko, Rakousko"
"Májová, Kristina, | O ostatních nevím nic /",Česko
"Málková, Martina | Pérka, drátky, kolečka :","Česko, Rumunsko"
"Mátlová, Martina | Virtuální realita /",Česko
"Müller, Martin, | Černá rusalka /","Česko, Československo, Rakousko, Sovětský svaz"
N. P. | Stoka /,"Česko, Německo, Francie"
"Nachtmanová, Petra, | Sesterská bouře /","Francie, Spojené království, Česko"
"Nacházelová, Daniela, | Krajina těla /","Spojené státy americké, Česko, Slovensko"
"Navrátilová, Renáta, | Můj sexy šéf :","Česko, Spojené státy americké"
"Neckář, Petr, | Nebe Nebo /",Česko
"Neff, Ondřej, | Zlatý pomeranč /","Indie, Irák, Česko"
"Nesměrák, Martin, | Z kamene a z vápna /","České království, Rakouské vévodství, Německá říše"
"Nesvadbová, Barbara, | Borůvky :","Česko, Srbsko, Itálie, Dánsko, Čína"
"Nesvačilová, Petra, | Skutečná /",Česko
"Neuwirth, Tomáš, | Sci-fi povídky z Jesenicka /","Česko, Rusko, Spojené státy americké, Švýcarsko, Německo, Brazílie, Čína, Jihoafrická republika"
"Neužil, František, | Zlomená pečeť /","Česko, Maďarsko, Rakousko, Německo, Polsko, Itálie"
"Neužilová, Žaneta | Do skonání věků /",Česko
"Nečas, Ondřej, | Stříbrný měsíc :","Česko, Maďarsko, Německo"
"Niedl, František, | Probuzená šelma /","Francie, Spojené státy americké, Švýcarsko, Egypt"
"Nofreeusernames, | Letní noci /","Česko, Spojené státy americké"
"Novak, Petr | Myškinův problém :","Česko, Rumunsko, Litva, Lotyšsko, Slovensko, Polsko, Bulharsko"
"Novotny, Josef J., | HC Faraoni Frýštejn a aljašský démon /","Česko, Spojené státy americké, Kanada, Rusko, Německo, Dánsko, Chile"
"Novotná, Martina, | Záhada zmizelého šlechtice /",Česko
"Novotný, Aleš, | Dokud dýchám /",Česko
"Novotný, David Jan, | Rozinky v blátě /","Itálie, Československo, Německo, Spojené království, Egypt"
"Nová, Edna | Cynická lovestory /","Česko, Nizozemsko, Německo, Afrika"
"Nováková, Tereza, | Co se stalo Veronice /","Česko, Pákistán, Rusko"
"Náhlíková, Anežka, | Můžu se vás dotknout přes plot? /",Česko
"Němec, Jan, | Liliputin :","Česko, Polsko, Slovensko, Ukrajina, Rusko, Bělorusko"
"Němec, Tomáš, | Život válečníka /","Císařství, Tradhye"
"Němec, Vojtěch, | Nekropotence /","Česko, Německo"
"Oboda, Hana, | Dunajský racek /","Irsko, Švýcarsko, Nizozemsko, Československo, Rakousko, Bosna a Hercegovina, Rakousko-Uhersko, Prusko"
"Odehnal, Petr, | Malučký princ /","Francie, Čína, Spojené státy americké, Sahara"
"Okáč, Filip | Bard z Rilanty /","Áreth, Tenebris, Rémes, Demzie, Tentrie"
"Opatřilová, Veronika, | Píseň L. /","Anglie, Česko"
"Opršal, Petr, | Dokud nás krev nerozdělí /","Chorvatsko, Bosna a Hercegovina, Jugoslávie"
"Ortega, Lucie, | Soumrak Edenu /","Izrael, Irák, Jordánsko, Libanon, Sýrie"
"Padevět, Jiří, | 1945 /","Česko, Německo, Polsko"
"Paleta, Soňa, | Pražačka na vsi /","Francie, Česko, Československo, Spojené státy americké, Brazílie, Itálie, Rusko"
"Palán, Lukáš, | Surový tvar /","Česko, Francie, Chile, Portugalsko, Tunisko, Spojené státy americké"
"Panou, Kateřina | Řecké štěstí /","Afrika, Aljaška, Amerika, Anglie, Brazílie, Česko, Evropská unie, Itálie, Japonsko, Německo, Norsko, Řecko"
"Pantovič, Kateřina, | Josefíně všichni lžou /","Česko, Spojené státy americké"
"Parsley, Sarah, | Trnitá cesta /","Česko, Spojené království"
"Parýzková, Lenka, | Sklouzni se v dešti /",Česko
"Pastorčáková, Lenka, | Kandidát /","Česko, Ukrajina"
"Pavelka, Jan | Pašerák srílanských snů /","Srí Lanka, Afghánistán, Česko, Velká Británie, Gruzie, Rwanda, Irák, Sierra Leone, Francie, Indie, Německo"
"Pavlovský, Jiří, | Kladivo na čaroděje.","Argentina, Česko"
"Pavlíčková Kovaříková, Pavla | Rododendron :","Česko, Irsko, Slovensko"
"Pawlowská, Halina, | Zájezd snů :","Česko, Francie, Německo, Polsko, Slovensko, Rakousko, Itálie, Řecko, Španělsko, Velká Británie, Ukrajina, Čína, Irsko, Nizozemsko, Rusko, Maďarsko"
"Paytok, Martin, | Láska, smrt a všechno zlý /","Česko, Irsko"
"Pažoutová, Jana, | Dvojí ortel /",Česko
"Peas, Nika | Chráním tě /","Itálie, Česko"
"Pecinovský, Josef, | Mirzova vize /","Česko, Spojené státy americké"
"Peck, D. B., | Sociopat /",Česko
"Pekárková, Iva, | Dům bez zrcadel /","Česko, Polsko, Spojené království"
"Pekárnová, Andrea, | Na cestě, aneb, (Ne)fádní život věčné optimistky /",Česko
"Pelíšek, Antonín, | Dlouhý most /","Itálie, Německo, Rakousko, Česko"
"Peroutková, Ivana, | Isabela a žluté útesy /","Francie, Česko"
"Petr, Daniel, | Odečítání pohybu souřadnic /","Česko, Spojené státy americké, Švýcarsko, Vietnam, Rusko, Německo, Spojené království, Ukrajina"
"Petrásek, Tomáš, | Azhareida :","Země, Systémová republika"
"Pešavová, Pavla, | Keltská kněžna /","Irsko, Itálie"
"Pešta, Mikuláš, | Terorista /","Česko, Rusko, Keňa"
"Pilátová, Lucie, | Rok (na) draka /","Česko, Čína, Rakousko, Německo"
"Pinknerová, Hana, | Potěšení není nikdy dost /",Česko
"Pischová, Naďa | Tam /",Česko
"Pitzmos, Aleš, | Synchronicita /","Spojené státy americké, Československo, Německá říše, Protektorát Čechy a Morava"
"Pixy, Petr S., | Komtur :","Česko, Rakousko, Spojené království, Indie, Německo, Francie, Švédsko, Španělsko"
"Pohnerová, Eliška, | Hladoví /",Česká republika
"Poláčková, Lenka | Co zpívá Sojka :","Česko, Morava"
"Poncarová, Jana, | Nultá hodina /","Česko, Francie, Německo, Polsko, Rusko, Egypt, Itálie, Spojené království"
"Popel, Richard, | Ohledávání času přítomného /","Francie, Polsko, Rusko, Vietnam, Česko, Maďarsko, Německo"
"Pospíšil, Otakar, | Bezejmenná.",Země
"Pospíšilová, Eva | Letní bouřky /",Česko
"Pospíšilová, Jarmila, | ...a naposled konvalinky /",Česko
"Potůčková, Lenka, | Návrat nežádoucí /","Německo, Polsko, Česko"
"Pražáková, Rozálie, | Koruna strachu /","Česko, Spojené království"
"Preissová, Martina, | Jak jsem nebyla na Lvech a jiné příhody /","Česko, Japonsko, Rusko"
"Prejdová, Dominika, | Z čeho je den /","Portugalsko, Německo, Česko"
"Prknářová, Alžběta | Saturnin a Stínadla, aneb, Setkání Lídy Baarové a Adiny Mandlové v Havlově vaně /","Česko, Francie, Itálie, Španělsko, Spojené státy americké, Indie, Egypt, Německo, Peru, Turecko"
"Procházka, Aleš, | Každý má svůj Everest /","Česko, Guatemala, Austrálie"
"Procházka, Jiří, | Zločin na zámku /","Česko, Německo"
"Procházka, Petr, | Rozchodové řízení /","Česko, Itálie, Švýcarsko, Spojené státy americké, Martinik"
"Procházková, Iva, | Tanec trosečníků :","Česko, Indie, Jihoafrická republika"
"Procházková, Kateřina, | 5. patro bez výtahu :","Švédsko, Česko, Nizozemsko, Spojené státy americké, Švýcarsko, Lucembursko, Polsko"
"Prokop, Josef Bernard | František Štěpán Lotrinský :",Rakousko
"Ptáčková, Jindřiška, | Pod jabloní /",Česko
"Pudlák, Štěpán | Hejt /",Česko
"Puffrová, Tess M. | Zatracená láska /",Česko
R. R. | Pornovláska /,"Česko, Maďarsko, Francie"
"Radosta, Pavel | Ztracen v zemi mamutů /",Česko
"Rauer, Vojtěch, | Na seně /","Česko, Německo"
"Rejfová, Marie, | Když se vosy vyrojí /",Česko
"Rejman, Martin, | Kruhy na rybníku /","Česko, Slovensko, Německo, Spojené státy americké, Itálie"
"Rejžková, Magdaléna Bujabéza, | Přístav /","Česko, Francie"
"Reviláková, Naďa, | Vlajka Viktora Vaňka /","Česko, Západ"
"Rezek, Aleš, | Sobělživci /",Česko
"Rezlerová, Mirka, | Adam /","Česko, Francie"
"Riedlová, Anna, | Ndoto /",Spojené státy americké
"Riedová, Emma, | Suďte spravedlivě /","Česko, Německo"
"Rollko, Natalie A., | Depiláž :","Francie, Finsko, Japonsko, Čína, Portugalsko, Rusko, Spojené státy americké"
"Rosípalová, Adéla | Zlomky nekonečna /","Spojené státy americké, Německo"
"Rourke, Andrea, | Když umřel Bowie /","Česko, Spojené státy americké"
"Rozehnal, Aleš, | Kdo rozváže pás Orionu /",Česko
"Rožek Elbel, Adéla, | Santiago, má lásko /","Česko, Španělsko, Portugalsko"
"Rubínková, Veronika, | Samota Christlhof /","Česko, Švédsko, Rusko"
"Rudčenková, Kateřina, | Tchyně nemá jazyk /","Rakousko, Turecko, Francie, Norsko, Jihoafrická republika, Německo, Indie, Čína, Nepál, Chorvatsko"
"Rupp, Jan, | V břečťanu /",Česko
"Rzepková, Lenka, | Nikdy nezapomeň /","Česko, Francie, Španělsko"
"Rýznerová, Eva, | Útěk do Toskánska /","Itálie, Česko"
"Saavedra, Anna, | Lid nomádů /","Česko, Rusko, Jižní Korea, Německo, Spojené království, Island"
"Sabó, Michal, | Krvavý sníh /","Česko, Německo, Dánsko, Uhersko, Rakousko"
"Sadílková, Lenka, | Nelituju /","Rakousko, Itálie, Švýcarsko, Francie"
"Sagitarius, Petr, | Trujkunt :","Česko, Slovensko, Rusko"
"Salivarová, Zdena, | Honzlová :","Česko, Maďarsko, Francie, Sovětský svaz, Finsko, Afrika"
"Salová, Lucie, | Bez tváře /",Česko
"Sani, Jitka, | Vánoční let do neznáma /","Česko, Rakousko, Německo"
"Saudková, Sára, | Ticho :","Česko, Spojené státy americké"
"Scharkez, Emma, | Život s vůní lubrikantu :",Česko
"Schmiedlová, Michaela, | Druhá šance pro Zoe /","Česko, Francie, Itálie, Spojené království"
"Schánělová, Lucie | Příliv.","Spojené státy americké, Austrálie"
"Sekerka, Tomáš, | Čas krmení /",
"Sekyrka, Pavel, | Ve spárech Afrodity /","Česko, Řecko, Jugoslávie, Rakousko, Francie"
"Selner, Martin, | Uprostřed /","Česko, Itálie"
"Semenov, Barbara | Má říše kupodivů :","Austrálie, Česká republika, Československo, Havaj, Itálie, Polsko, Rakousko, Švýcarsko"
"Semotamová, Tereza, | Radikální potřeby /","Česko, Itálie, Nizozemsko, Guatemala, Spojené státy americké, Rusko, Korea, Čína, Panama, Finsko, Lucembursko, Německo"
"Sevruk, Alexej, | Evropanka :","Česko, Ukrajina, Polsko, Rusko, Německo, Rakousko, Sovětský svaz"
"Sichinger, Martin, | Zítra přijde Olah /","Československo, Bulharsko, Německo, Sovětský svaz, Ukrajina"
"Sirotek, Michal, | Znamení padlých :","Siwa, Cartárie"
"Sirotková, Soňa, | U dvora římského krále Josefa /","Rakousko, Česko"
"Skopal, Ivo, | Vykořenění /","Česko, Německo, Polsko, Francie, Spojené království, Maďarsko, Rusko, Irsko, Skotsko"
"Skočílková, Mirka, | Opuštěný dům /","Česká republika, Spojené státy americké"
"Skálová, Hana, | Pravdu mám přece já! /",Česko
"Skřipský, Marek, | Strážník z Nového Světa /","Československo, Česko, Francie"
"Slavíková, Jitka, | Životní (s)milníky /",Česko
"Slezáček, Bořek, | Kéž bys tu byla /","Česko, Japonsko, Itálie, Rusko, Spojené arabské emiráty, Švýcarsko"
"Slivinský, Dalibor, | Všechny vaše životy /","Spojené státy americké, Spojené království, Česko, Slovensko"
"Slováková, Petra, | Vzpomínky na zítřek /","Česko, Polsko, Německo"
"Sládek, Martin, | Časovládci :","Česko, Izrael, Francie, Čína, Itálie, Spojené státy americké, Spojené království, Skotsko"
"Sládek, Ota, | Kousni se do hlavy! :","Česká republika, Rakousko-Uhersko, Chorvatsko, Rusko"
"Sládečková, Kristýna | Mexabo /","Česko, Spojené státy americké, Čína, Švédsko, Finsko, Lotyšsko, Rusko"
"Sláma, Tadeáš Vojtěch, | Plejády /",Česko
"Slívka, Honza, | Masomlejnek.","Česko, Etiopie, Tchaj-wan, Itálie, Rakousko"
"Smith, Gabriella, | Služebná Kessy :","Spojené království, Spojené státy americké"
"Smutný, Jan, | Mozek génia /",Česko
"Sněgoňová, Kristýna, | Legie.","Česko, Německo, Rusko, Španělsko"
"Sobotka, Oldřich, | Vražedné léto /","Itálie, Česko"
"Sobotková, Anna, | Josefína na zeleném ostrově /","Česko, Spojené království"
"Soldánová, Alexandra, | Chci tě slyšet /",Česko
"Soldátová, Natálie, | Pomsta mafie :","Česko, Itálie"
"Soukupová, Petra, | Všechny za jednu /",Česko
"Součková, Zuzana, | Po schodech nahoru, po čumáku dolů /",Česko
"Srňánková, Lucie, | Ano, pane Božský /","Česko, Španělsko, Tanzanie"
"Staffa, Alexander, | Násilí /","Rumunsko, Německo, Finsko, Dánsko, Norsko, Francie, Sovětský svaz, Švýcarsko, Rakousko, Itálie, Kanada, Spojené státy americké"
"Stainforth, Alexander, | Něžná náruč větru /",Spojené království
"Stanjura, Jakub, | Srpny /",Česko
"Stančík, Petr, | Pravomil, aneb, Ohlušující promlčení /","Česko, Itálie, Francie, Velká Británie, Rakousko-Uhersko, Sovětský svaz, Spojené státy americké, Habeš, Chorvatsko, Podkarpatská Rus, Maďarsko, Ukrajina, Německo"
"Staněk, Filip, | Křehká struna /","Čína, Česko, Francie, Itálie, Monako, Švédsko"
"Starý, Radek, | Arila.",
"Staňková, Anna | Kukačky :","Česko, Spojené státy americké"
"Steinbauer, Boris | Smrtící obhajoba /","Česko, Rakousko"
"Stejskalová, Věra | Co by bylo, kdybych se přestala bát /",Spojené státy americké
"Straková, Izabela, | Říše /","Německo, Česko, Polsko, Rusko"
"Strnadová, Anna, | Volyňská rapsodie /","Česko, Rusko, Ukrajina, Argentina, Kanada, Spojené státy americké"
"Stručovský, Martin, | Hříchy otců /","Česko, Německo, Rusko, Spojené státy americké"
"Stránský, Jiří, | Aukce /","Česká republika, Slovensko, Spojené státy americké, Spojené království, Norsko, Švýcarsko, Sovětský svaz"
"Stráníková, Jarmila, | Ve stínu války /",Česko
"Suchý, Adam, | Všechno se v dobré obrátí /","Česko, Slovensko, Španělsko, Bulharsko, Jugoslávie"
"Surmanová, Kateřina, | Tři Sekery :","Česko, Slovensko, Velká Británie"
"Svoboda, Monika, | Máma kriminálnice /","Španělsko, Švýcarsko, Česko"
"Svobodová, Martina, | Život je šlehané hruškové pyré /",Česko
"Sychra, Karel | Po stopách vesmírných turistů /","Švédsko, Francie, Švýcarsko, Itálie, Sovětský svaz, Česko"
"Syrovátka, Tomáš, | Haškoviny :",Česko
"Sýkora, Michal, | Případ pro exorcistu /","Česko, Japonsko"
"Sýkora, Petr, | Sklíněné korálky /","Česko, Itálie"
"Sýkorová, Klára, | Partnerské přešlapy :",Česko
"Tachovská-Vestman, Kateřina, | Řekni, že jsi Tachovská :","Česká republika, Rakousko-Uhersko, Polsko, Německo, Švédsko"
"Teršová, Klára, | Až ke křížku /","Česko, Německo, Polsko, Sovětský svaz"
"Tišnovská, Kateřina | Život jako amaretto /","Česko, Itálie"
"Toman, Marek, | České sklo /","Česko, Estonsko, Rusko, Maďarsko, Afghánistán"
"Tomsa, Lucie, | Rozplétání /",Česko
"Tománek, Jan, | Lustr pro papeže :","Česko, Rusko, Spojené státy americké, Slovensko, Československo"
"Tomšů, Radmila | Strážci rozhraní.","Česko, Itálie"
"Torčík, Marek, | Rozložíš paměť /",Česko
"Trbušek, Tomáš | Rok v Brně :",Česko
"Trobok, Ella | Zaprodaný cit /",Myosoté
"Trpková, Kristýna, | Vesnice /","Česko, Spojené státy americké"
"Tučková, Kateřina, | Jedeme na dovolenou /","Česko, Československo, Barma, Vietnam, Thajsko, Austrálie, Spojené státy americké"
"Tvrz, Jakub, | Kdo nemaká, nežere /",Česko
"Tylšar, František, | Skutečné příběhy ze železnice /","Česko, Německo, Itálie, Monako"
"Táborská, Dita, | Černé jazyky /","Čína, Filipíny, Japonsko, Korejská republika, Mikronésie, Spojené státy americké, Tchaj-wan"
"Třeštík, Michael, | Hodně jsem nikde /","Česko, Spojené státy americké, Čína"
"Třeštík, Tomáš, | Po povrchu /","Česko, Francie, Itálie, Skotsko"
"Třeštíková, Radka, | Kde jsi, když nejsi /","Itálie, Česko"
"Tůmová, Karolina | Modrá jako naděje /","Česko, Slovensko, Francie, Spojené státy americké"
"Uhlíř, Martin, | Sestry /",Francie
"Urban, David, | Hra o přežití /",Česko
"Urban, Jan, | Hranice zvrhlosti /","Česko, Egypt"
"Urban, Miloš, | Továrna na maso /","Rakousko, Rakousko-Uhersko, Československo, Spojené státy americké, Francie, Švédsko, Egypt, Maďarsko, Spojené království Velké Británie a Severního Irska, Česko"
"Urban, Petr, | Práh :",Česko
"Urešová, Iveta | Naděje umírá /",Česko
"Ušel, Ondřej | Země růží /","Země králů, Země růží, Země stínů, Země kostí, Země ohně, Země světla, Země chladu"
"Užkonečně Šťastná, Dagmar | Za vším hledej ženu /","Itálie, Česko"
"Vacek, Jindřich, | Tři muži na Titaniku /","Spojené státy americké, Spojené království, Irsko, Německo, Česko"
"Vachtová, Alena, | Z Madridu do oblak /","Argentina, Česko, Československo, Itálie, Německo, Paraguay, Peru, Rusko, Spojené státy americké, Španělsko"
"Vajsejtlová, Barbora, | Vůbec o nic nejde /",Česko
"Valenová, Lena | #Sleduj mě /","Česko, Spojené království, Francie, Austrálie, Jižní Korea, Japonsko, Rusko, Bělorusko, Katar, Srí Lanka, Ukrajina, Itálie, Německo, Argentina, Jihoafrická republika, Finsko"
"Valentová, Veronika, | Meteorit z Mušlovky /",Česko
"Valíková, Veronika, | Češtinářky /","Austrálie, Itálie, Česká republika"
"Vaňková, Lucie, | Putování leklé ryby /","Česko, Albánie, Francie"
"Vaščíková, Michaela, | Lvice v erbu krále /",Opálie
"Velinský, Jaroslav, | Velice dlouhé schody :","Československo, Německo, Španělsko, Itálie, Velká Británie"
"Veselka, Josef, | Srdcaři /",Česko
"Veselý, Karel, | Kov /","Norsko, Anglie"
"Viewegh, Michal, | Biomanžel /","Česká republika, Slovensko, Indie, Maledivy, Itálie"
"Vieweghová, Veronika, | Pod maskou stín /","Česko, Čína"
"Vičar, Zbyněk, | Temná rána /",Česko
"Vlasáková, Klára, | Těla /",
"Vogel, Aleš, | Sám mezi ženami.",Česko
"Vojáčková, Šárka, | Deník jóga matky /","Česká republika, Indie"
"Vokolek, Václav, | Krajiny zjevení /","Itálie, Belgie, Česko"
"Vondra, Jaromír | Anima /","Etiam, Pol, Terra"
"Vondruška, Vlastimil, | Královražda na Křivoklátě /","Česko, Rakousko, Německo, Polsko, Maďarsko, Francie"
"Vondráčková, Hana, | Puberťačka před důchodem :","Česko, Španělsko"
"Vopěnka, Martin, | Spící město /",
"Votruba, Václav, | Šumavský Děs.",Česko
"Vrchovský, Ladislav, | Statek :","Rakousko, Německo, Česko, Polsko, Bosna a Hercegovina, Maďarsko, Chorvatsko, Ukrajina, Itálie, Francie"
"Vrzalová, Veronika, | Florencie, moje (sebe)láska /","Itálie, Česko"
"Vybíhalová, Iveta | Život je někdy jako... /",Česko
"Vychodilová, Eva, | Někdy je potřeba prohodit role /","Česko, Japonsko, Španělsko"
"Vydra, Petr, | Muž v karanténě /","Česko, Itálie"
"Vácha, Dalibor, | Vilda :","Československo, Rakousko, Francie, Spojené království"
"Václavíková, Eliška | Zvonkohra /",Česko
"Válková, Veronika, | Indie :","Česko, Indie, Řecko"
"Váňa, Jan, | Křehkost /","Rumunsko, Česko, Španělsko, Austrálie, Madagaskar"
"Váňa, Radek | Předpeklí snu /",Česko
"Váša, Martin | Zůstane to v rodině /","Česko, Francie, Rakousko, Srbsko, Švédsko, Ukrajina"
"Vášová, Michaela | Tajemství Heavenu.","Angeldom, Sunflowerlands, Luna, Heaven"
"Vít, Jakub, | Více než člověk :","Čína, Německo, Česko"
"Věrný, David, | Bazén /","Česko, Gruzie, Francie"
"Větříšek, Lubomír, | Dva roky v hajzlu /","Česko, Československo"
"Vůchová, Sára, | Sphinx /","Spojené státy americké, Česko"
"Walló, Alex, | Muž vdaných žen /","Česko, Spojené království"
"Walterová Benešová, Barbora, | Úřednice z vigvamu /","Česko, Slovensko, Černá Hora"
"Wang Tylová, Klára, | Ostrov duchů /","Tchaj-wan, Čína, Hongkong, Spojené státy americké"
"Weiner, Richard, | Přetržená nit a jiné rané prózy /","Česko, Itálie"
"Wernerová, Jaroslava, | Konzervatoř, aneb..., Student ve vlastní šťávě /","Česko, Egypt"
"Whitton, Hana, | Ludmila z Poděbrad :","Česko, Polsko, Francie, Uhersko"
"Wilková, Scarlett, | Až uvidíš moře /","Řecko, Albánie, Jugoslávie, Československo, Německo, Bulharsko, Turecko, Sovětský svaz"
"Wlodarczyk, Dan, | Jitřní záře :","Česko, Německo, Španělsko, Nizozemsko, Švýcarsko, Rakousko, Spojené království"
"Xabyssus, Sam, | Vůně inkoustu /","Spojené království, Španělsko"
"Zachrdla, Jakub, | Zbabělci a vrazi :","Německo, Francie, Česká republika, Československo, Bělorusko"
"Zadinová, Radka, | Stíny v duši /",Česko
"Zahájský, Květoň | Tajemné kosočtverce v obilí /","Česko, Itálie, Maďarsko, Polsko, Rusko, Spojené státy americké"
"Zandl, Patrick, | Špicl Páně 955 /","Itálie, Německo, Česko, Bavorsko, Sasko"
"Zavadilová, Andrea | Všechna moje M /","Nizozemsko, Spojené království, Česko"
"Zavřel, Viktor, | Pohled přes listy Bódhi /","Česko, Irsko, Spojené státy americké"
"Zeithammerová, Sára, | Stehy /",Česko
"Zgustová, Monika, | Překladatelka haiku /","Spojené státy americké, Česko, Rakousko, Francie, Itálie, Indie, Německo, Řecko"
"Zhřívalová, Petra, | Srdeční selhání /",Česko
"Zlatníková, Mirka, | Marie Terezie.","Rakousko, Francie, Španělsko, Itálie, Švédsko, Rusko, Polsko, Spojené království Velké Británie a Irska, Česko"
"Zlínská, Hana, | Černé slzy paní Moschelesové /",Česko
"Zmítko, Michal, | Meč pro krále :",Česko
"Znamínková, Marie, | Generace.","Česko, Amerika, Asie, Evropa"
"Zvěřová, Lucie, | Za hranicí naděje /","Francie, Česko"
"Záleský, Vojtěch, | Převzetí /",Spojené státy americké
"Zárybnický, Lukáš, | Březový háj /","Německo, Francie, Belgie, Polsko"
